CameraID,Timestamp,MotionDetected,Duration,Area,HomeState
CAM_004,2025-12-30 11:31:06,True,72,Driveway,Away
CAM_002,2025-12-29 22:32:06,True,3,Driveway,Home
CAM_003,2025-12-30 01:35:06,True,32,Garage,Home
CAM_002,2025-12-30 02:22:06,True,233,Garage,Away
CAM_002,2025-12-30 09:31:06,True,94,Driveway,Away
CAM_003,2025-12-30 08:57:06,True,21,Living Room,Away
CAM_004,2025-12-30 05:49:06,True,7,Living Room,Home
CAM_002,2025-12-30 11:26:06,True,123,Living Room,Away
CAM_004,2025-12-30 07:25:06,True,178,Backyard,Away
CAM_002,2025-12-30 04:55:06,False,185,Living Room,Away
CAM_003,2025-12-30 08:08:06,False,40,Garage,Home
CAM_004,2025-12-30 00:59:06,True,103,Living Room,Away
CAM_004,2025-12-30 12:32:06,True,38,Garage,Home
CAM_002,2025-12-30 10:33:06,True,238,Front Door,Away
CAM_004,2025-12-30 11:22:06,False,6,Living Room,Home
CAM_003,2025-12-29 20:47:06,True,4,Front Door,Home
CAM_003,2025-12-30 10:06:06,True,238,Living Room,Away
CAM_004,2025-12-30 08:41:06,True,40,Garage,Home
CAM_001,2025-12-30 09:17:06,True,34,Backyard,Away
CAM_002,2025-12-30 00:03:06,True,300,Front Door,Away
CAM_002,2025-12-29 20:28:06,False,72,Garage,Away
CAM_002,2025-12-29 22:19:06,False,31,Driveway,Home
CAM_003,2025-12-30 00:49:06,True,165,Garage,Away
CAM_001,2025-12-30 12:01:06,True,15,Backyard,Away
CAM_001,2025-12-30 04:02:06,True,20,Living Room,Home
CAM_003,2025-12-30 03:30:06,False,76,Backyard,Away
CAM_001,2025-12-30 00:40:06,True,125,Living Room,Away
CAM_004,2025-12-30 11:52:06,False,22,Garage,Home
CAM_003,2025-12-29 22:30:06,False,85,Garage,Away
CAM_003,2025-12-30 04:21:06,True,23,Living Room,Home
CAM_001,2025-12-29 23:35:06,True,193,Front Door,Away
CAM_003,2025-12-29 23:44:06,True,25,Garage,Home
CAM_001,2025-12-30 03:28:06,True,43,Living Room,Home
CAM_004,2025-12-30 08:37:06,True,164,Front Door,Away
CAM_001,2025-12-30 06:36:06,True,28,Front Door,Home
CAM_003,2025-12-30 05:13:06,True,22,Front Door,Away
CAM_003,2025-12-29 20:10:06,True,279,Living Room,Away
CAM_004,2025-12-30 08:28:06,True,8,Garage,Home
CAM_004,2025-12-30 00:05:06,True,278,Driveway,Away
CAM_004,2025-12-29 20:50:06,True,21,Living Room,Away
CAM_002,2025-12-30 09:39:06,True,56,Living Room,Away
CAM_001,2025-12-29 21:49:06,True,94,Driveway,Away
CAM_001,2025-12-30 09:18:06,True,41,Front Door,Home
CAM_003,2025-12-30 12:05:06,True,20,Living Room,Home
CAM_002,2025-12-30 10:58:06,True,8,Front Door,Home
CAM_004,2025-12-30 09:37:06,True,106,Living Room,Away
CAM_002,2025-12-30 10:43:06,True,287,Garage,Away
CAM_003,2025-12-30 10:40:06,True,35,Front Door,Home
CAM_003,2025-12-29 22:41:06,True,281,Living Room,Away
CAM_001,2025-12-29 23:16:06,True,155,Garage,Away
CAM_001,2025-12-30 11:50:06,False,33,Driveway,Home
CAM_004,2025-12-30 00:43:06,True,289,Front Door,Away
CAM_003,2025-12-30 08:21:06,True,296,Backyard,Away
CAM_001,2025-12-30 07:18:06,True,53,Living Room,Away
CAM_002,2025-12-30 08:07:06,False,289,Garage,Away
CAM_003,2025-12-29 20:38:06,True,41,Backyard,Home
CAM_001,2025-12-30 00:41:06,True,271,Garage,Away
CAM_004,2025-12-30 08:33:06,True,257,Driveway,Away
CAM_003,2025-12-30 03:36:06,False,122,Front Door,Away
CAM_002,2025-12-29 20:00:06,True,15,Garage,Home
CAM_003,2025-12-30 08:36:06,True,9,Living Room,Home
CAM_003,2025-12-30 04:24:06,True,190,Living Room,Away
CAM_002,2025-12-30 07:35:06,True,101,Driveway,Away
CAM_004,2025-12-29 22:54:06,True,106,Living Room,Away
CAM_004,2025-12-29 20:04:06,True,25,Driveway,Home
CAM_003,2025-12-30 06:11:06,True,17,Garage,Home
CAM_001,2025-12-30 02:20:06,False,193,Living Room,Away
CAM_003,2025-12-29 20:53:06,False,79,Garage,Away
CAM_004,2025-12-29 20:59:06,True,100,Living Room,Away
CAM_003,2025-12-30 04:37:06,True,80,Backyard,Away
CAM_002,2025-12-29 21:15:06,True,20,Front Door,Home
CAM_002,2025-12-29 21:00:06,True,34,Backyard,Home
CAM_003,2025-12-30 12:29:06,False,31,Backyard,Home
CAM_001,2025-12-30 08:02:06,True,152,Backyard,Away
CAM_003,2025-12-29 23:47:06,False,23,Front Door,Home
CAM_004,2025-12-30 11:14:06,True,193,Front Door,Away
CAM_002,2025-12-29 22:58:06,True,228,Driveway,Away
CAM_001,2025-12-30 04:52:06,True,20,Living Room,Home
CAM_001,2025-12-29 23:11:06,True,39,Garage,Away
CAM_002,2025-12-30 10:29:06,False,37,Living Room,Home
CAM_002,2025-12-30 02:38:06,True,31,Driveway,Home
CAM_001,2025-12-29 21:41:06,True,21,Backyard,Home
CAM_003,2025-12-30 09:10:06,True,118,Driveway,Away
CAM_002,2025-12-29 23:05:06,True,25,Living Room,Home
CAM_002,2025-12-30 09:57:06,True,13,Backyard,Away
CAM_002,2025-12-29 20:33:06,True,73,Front Door,Away
CAM_002,2025-12-30 11:26:06,False,16,Front Door,Home
CAM_001,2025-12-30 10:09:06,True,95,Living Room,Away
CAM_001,2025-12-30 08:43:06,False,128,Driveway,Away
CAM_004,2025-12-30 05:22:06,True,46,Garage,Away
CAM_003,2025-12-30 03:41:06,True,37,Garage,Home
CAM_004,2025-12-30 01:06:06,True,22,Backyard,Home
CAM_001,2025-12-30 08:48:06,True,179,Backyard,Away
CAM_003,2025-12-30 05:12:06,True,72,Living Room,Away
CAM_002,2025-12-30 05:47:06,False,288,Living Room,Away
CAM_002,2025-12-30 12:06:06,True,158,Garage,Away
CAM_003,2025-12-29 23:34:06,True,13,Living Room,Home
CAM_003,2025-12-29 21:08:06,True,169,Garage,Away
CAM_003,2025-12-30 11:35:06,True,15,Front Door,Home
CAM_001,2025-12-29 21:02:06,True,174,Backyard,Away
CAM_004,2025-12-30 06:37:06,True,257,Backyard,Away
CAM_002,2025-12-30 03:47:06,True,112,Backyard,Away
CAM_002,2025-12-30 07:03:06,False,36,Living Room,Home
CAM_001,2025-12-30 11:49:06,False,229,Front Door,Away
CAM_002,2025-12-29 20:51:06,True,81,Front Door,Away
CAM_002,2025-12-30 12:15:06,True,223,Living Room,Away
CAM_002,2025-12-29 20:55:06,True,100,Garage,Away
CAM_004,2025-12-30 03:16:06,True,139,Backyard,Away
CAM_001,2025-12-29 20:19:06,True,40,Backyard,Home
CAM_003,2025-12-30 08:48:06,False,19,Front Door,Home
CAM_003,2025-12-30 08:45:06,False,76,Backyard,Away
CAM_004,2025-12-30 03:11:06,True,27,Driveway,Home
CAM_002,2025-12-30 11:15:06,True,268,Living Room,Away
CAM_004,2025-12-30 11:09:06,True,266,Garage,Away
CAM_003,2025-12-30 05:49:06,True,86,Driveway,Away
CAM_001,2025-12-30 06:36:06,True,152,Garage,Away
CAM_004,2025-12-30 00:29:06,True,15,Garage,Home
CAM_001,2025-12-30 08:33:06,True,136,Backyard,Away
CAM_004,2025-12-30 11:07:06,True,156,Garage,Away
CAM_003,2025-12-29 21:21:06,True,203,Driveway,Away
CAM_001,2025-12-30 10:17:06,True,27,Backyard,Away
CAM_004,2025-12-30 06:06:06,False,4,Garage,Home
CAM_001,2025-12-30 05:44:06,False,1,Living Room,Home
CAM_001,2025-12-30 05:05:06,False,24,Garage,Home
CAM_003,2025-12-30 12:15:06,True,11,Front Door,Home
CAM_001,2025-12-30 02:19:06,True,176,Front Door,Away
CAM_004,2025-12-30 10:36:06,True,43,Living Room,Home
CAM_002,2025-12-30 11:22:06,True,29,Backyard,Home
CAM_004,2025-12-30 04:05:06,True,11,Driveway,Home
CAM_001,2025-12-29 21:37:06,True,40,Front Door,Home
CAM_003,2025-12-30 05:36:06,True,22,Backyard,Home
CAM_002,2025-12-30 03:23:06,True,31,Front Door,Home
CAM_002,2025-12-30 04:51:06,True,55,Living Room,Away
CAM_003,2025-12-30 05:46:06,False,40,Front Door,Home
CAM_003,2025-12-30 01:55:06,True,16,Backyard,Home
CAM_002,2025-12-29 21:34:06,True,35,Backyard,Home
CAM_001,2025-12-30 00:07:06,True,32,Living Room,Home
CAM_002,2025-12-30 11:34:06,True,94,Garage,Away
CAM_002,2025-12-30 01:24:06,True,13,Backyard,Home
CAM_003,2025-12-30 05:53:06,True,220,Front Door,Away
CAM_003,2025-12-30 04:42:06,False,13,Backyard,Home
CAM_001,2025-12-30 00:00:06,False,288,Backyard,Away
CAM_002,2025-12-30 04:41:06,True,126,Living Room,Away
CAM_003,2025-12-30 03:51:06,False,249,Living Room,Away
CAM_001,2025-12-29 22:07:06,True,22,Living Room,Home
CAM_003,2025-12-30 06:29:06,True,206,Living Room,Away
CAM_002,2025-12-30 00:47:06,True,26,Living Room,Home
